网点名称,网点地址,电话,Longitude,Latitude
巢湖支行,安徽省巢湖市东塘路与团结路交口东方国际大厦一楼,0551-82320385       ,+0117.881116,+0031.598758
合肥肥西支行,安徽省合肥市肥西县上派镇新华街4号,0551-68236600       ,+0117.172154,+0031.720362
合肥潜山路支行,安徽省合肥市蜀山区潜山路与皖河路交口新华国际广场A座裙楼1-2层,0551-65973255       ,+0117.231897,+0031.835987
中国民生银行股份有限公司合肥庐阳支行,"合肥市亳（bo）州路135号天庆大厦一层,庐阳区政府对面",0551-62892550       ,+0117.263857,+0031.878508
中国民生银行合肥滨湖支行,滨湖新区天山路与洞庭湖路交叉口,0551-64562060       ,+0117.303659,+0031.740205
中国民生银行肥东支行,合肥市肥东县店埠镇公园路北侧星光国际广场3-S2一、二层,0551-67722006       ,+0117.473487,+0031.892919
中国民生银行庐江支行,合肥市庐江县周瑜大道与汤池路交口鸿悦公馆一楼,0551-87011051       ,+0117.276448,+0031.255505
合肥经开区支行,合肥市经济技术开发区莲花路与丹霞路交口名筑花园29栋,0551-63802800       ,+0117.231502,+0031.765384
合肥屯溪路支行,安徽省合肥市屯溪路253号,0551-64635670       ,+0117.284967,+0031.847662
合肥分行营业部,合肥市芜湖西路与金寨路交口银保大厦，稻香楼旁边，光大银行斜对面,0551-65907850       ,+0117.273690,+0031.849820
合肥白马支行　,安徽省合肥市站前路宝文商务大厦一楼,0551-64208551       ,+0117.311796,+0031.884961
合肥望江路支行,安徽省合肥市包河区望江东路39号（安徽省儿童医院旁）,0551-63481255       ,+0117.281024,+0031.828262
