网点名称,网点地址,电话,Longitude,Latitude
合肥陶冲湖支行,合肥市新站区东淝河路与淮海大道交口京商商贸城G-1-2幢商145-149号,0551-63685161,117.345,31.9335
合肥潜山路分理处,合肥市蜀山区潜山路320号新华金融广场办公楼C幢商业101室,0551-63623449,117.2319,31.8362
合肥长江批发市场支行,合肥市长江东路85号长江批发市场A1二区2#,0551-64427816,117.364716,31.867527
肥东石塘营业所,肥东县石塘镇金桥街,0551-67451258,117.635818,31.93492
庐江金牛支行,庐江县金牛镇,0551-87391115,117.208984,31.3972015
合肥蜀山科技支行,合肥市蜀山区稻香路1088号香山丽舍1-甲幢101号门面房,0551-62869163,117.1684,31.8593
庐江汤池支行,庐江县汤池镇,0551-87381039,117.09697,31.3293362
合肥井岗支行,安徽省合肥市蜀山路140号,0551-65380661,117.18531,31.852272
合肥芜湖路支行,安徽省合肥市芜湖路347号城市华庭B座3-102、202,0551-62885476,117.281845,31.8512669
合肥长江东路分理处,合肥市瑶海区长江东路628号居然之家A区一层门面房,0551-65542135,117.325035,31.8685131
巢湖巢湖路支行,巢湖市巢湖路363号,0551-82329242,117.8745,31.6044
合肥琥珀分理处,合肥市蜀山区琥珀山庄南村商网55幢（4-12）101室,0551-62848357,117.2647,31.8653
合肥包河区支行营业室,合肥市屯溪路168号,0551-64681249,117.301231,31.8486862
庐江白山支行,庐江县白山镇,0551-87396022,117.375786,31.4713879
庐江县支行营业室,庐江县军二路301号,0551-87322670,117.292213,31.2489548
合肥安庆路支行,合肥市安庆路236号23幢商101~105门面,0551-62846264,117.2774,31.86528
三牌楼支行,合肥市徽州大道195号,0551-62642361,117.286354,31.85609
肥东县支行营业室,肥东县店埠镇龙泉中路,0551-67711978,117.467407,31.88301
庐江盛桥支行,庐江县盛桥镇,0551-87201045,117.495857,31.3904629
合肥望江东路支行,安徽省合肥市望江东路115号,0551-63421275,117.282738,31.8280926
